ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,TOTAL
201223884,1,1,0,0,0,0.666666667,0,0,0,1,1.833333333
201514154,1,0.5,1,0,0,0.333333333,0,0,0,0,1.416666667
201515657,1,1,1,0,1,0.333333333,0,0,0,1,2.666666667
201531886,1,1,1,1,0,0.333333333,1,0,0,0,2.666666667
201614088,1,1,1,1,1,0.666666667,1,0,1,1,4.333333333
201615258,1,1,0,0,0,0.333333333,0,0,0,0,1.166666667
201615650,1,0,1,1,0,0,0.5,0,0,0,1.75
201621035,1,1,1,1,0,0.333333333,1,0,0,0,2.666666667
201630619,1,1,1,1,0,0.666666667,0,0,0,1,2.833333333
201632974,1,1,0,1,1,0.666666667,0,1,1,0,3.333333333
201713245,1,1,1,1,1,0,1,0,0,1,3.5
201713874,1,1,1,1,0,1,1,1,0,1,4
201714313,1,1,1,1,1,0.666666667,1,1,0,1,4.333333333
201715317,1,1,1,1,0,0.333333333,0,0,0,1,2.666666667
201715548,1,1,1,1,1,0.333333333,0,1,0,1,3.666666667
201717106,1,1,1,1,0,0.333333333,1,0,0,1,3.166666667
201720141,1,1,1,1,0,0.666666667,1,1,0,1,3.833333333
201730212,1,0,0,1,0,0.333333333,0,1,0,0,1.666666667
